address,date_added,description,phone,price,seller,title
"Thoresby House, Thorner Lane, Scarcroft LS14 3AW",Added on 22/02/2021,Thoresby House is a magnificent 4 bedroom semi-detached family home situated within the highly sought after and opulent village of Scarcroft. The property has been sympathetically designed to offer spacious accommodation and boasts extensive living space for a growing family. ,01423 429061,"£765,000","Linley & Simpson, New Homes, Yorkshire",4 bedroom semi-detached house for sale
"Park Mews, Farnley Tyas, Huddersfield",Added on 29/05/2021,"A perfect blend of old & new, this grade II listed barn has been sympathetically converted to create a stunning family home whilst retaining a wealth of original features and character including vaulted ceilings with exposed beams and trusses. Situated in arguably one of the most sought ...",01484 977034,"£765,000","Simon Blyth, Holmfirth",4 bedroom detached house for sale
"Gale House, Thorner Lane, Scarcroft LS14 3AW",Added on 22/02/2021,Gale House is a magnificent 4 bedroom semi-detached family home situated within the highly sought after and opulent village of Scarcroft. The property has been sympathetically designed to offer spacious accommodation and boasts extensive living space for a growing family. ,01423 429061,"£765,000","Linley & Simpson, New Homes, Yorkshire",4 bedroom semi-detached house for sale
"Tranby Lane, Swanland",Reduced on 28/05/2021,"LOCATION, LOCATION, LOCATION! With a SPECTACULAR VIEW to the rear is this lovely detached residence which is situated on the south side of the PRESTIGIOUS TRANBY LANE. With a cottage feel combined with CONTEMPORARY FITTINGS and a superb open plan living kitchen, viewing is very much recommended...",01482 750079,"£765,000","Matthew Limb Estate Agents Ltd, Brough",4 bedroom detached house for sale
"Westfield Terrace, Wakefield",Reduced on 25/05/2021,ATTENTION INVESTORS HMO PROPERTY with SEVEN BEDROOMS,01977 325111,"£250,000","Park Row Properties, Pontefract",7 bedroom terraced house for sale
"Plot 2,  Littlemoor Farm Development, Winterburn Lane, Warley, Halifax",Added on 20/11/2020,Occupying a hilltop position within this simply stunning semi-rural location surrounded by open grazing land and enjoying panoramic views. This exclusive gated development of just five individual detached family homes offers a unique opportunity to purchasers allowing them to personalis...,01422 757046,"£765,000","Charnock Bates, Halifax",4 bedroom detached house for sale
"Poachers Retreat, Maplewood Place, Abbes Walk, Burghwallis, Doncaster, DN6 9JH",Added on 19/03/2021,An exclusive gated development of four individually designed stone built properties located within the highly regarded rural village of Burghwallis. The properties offer well balanced living accommodation for a growing family set over three floors.,01302 960055,"£760,000","Fine & Country, Bawtry",6 bedroom detached house for sale
"Bond End, Knaresborough, North Yorkshire",Reduced on 18/09/2020,"A beautifully presented Georgian conversion teeming with character and charm, set in a most desirable location in the heart of the historic market town of Knaresborough.",01423 429044,"£760,000","Strutt & Parker, Harrogate",5 bedroom detached house for sale
"Treetops, Maplewood Place, Abbes Walk, Burghwallis, Doncaster, DN6 9JH",Added on 26/03/2021,A well proportioned 6 bedroom detached family home set within an exclusive gated development of four individually designed stone built properties located in the highly regarded rural village of Burghwallis.,01302 960055,"£755,000","Fine & Country, Bawtry",6 bedroom detached house for sale
"3 West House Gardens, Birstwith, Harrogate",Added on 10/05/2021,"A four bedroom, three bathroom property forming part of a bespoke selection of 33 new build homes. The development offers modern living in a long-standing and idyllic village community. Each of the luxurious homes, ranging from three to five bedrooms, has been carefully designed to offer spacious...",01423 429032,"£755,000","Nicholls Tyreman, Harrogate",4 bedroom detached house for sale
"Hastings Road, Sheffield, South Yorkshire, S7",Added on 25/03/2021,"*DETACHED* *FIVE BEDROOMS* *THREE ENSUITES* *DOUBLE GARAGE* *EXCELLENT LOCATION* Blundells are excited to bring to the market this fabulous, elegant, spacious five bedroom detached property in the sought after area of Millhouses. This location is popular for its exc...",0114 467 0335,"£750,000","Blundells, Banner Cross",5 bedroom detached house for sale
"Sleights Lane, Rainton, North Yorkshire, YO7 3PX",Added on 18/05/2021,"Constructed in brick with artsone cills, The Sawley is a spacious executive home with five double bedrooms and integral garage. Double fronted, the property is accessed via an impressive hallway. Two separate reception rooms, one with multi- fuel stove, offer flexible living space. Fully self con...",01845 610016,"£750,000","Hunters, Thirsk",5 bedroom detached house for sale
"Hemingfield Road, Wombwell, Barnsley, S73 0LY",Added on 29/12/2020,Internal floor area - 31746 sq ft / 2949.46 sq.m The property is strategically situated less than 4 mile from the M1 motorway and just under 5 miles from Barnsley Town Centre.,01226 977176,"£750,000","Hunters, Barnsley",10 bedroom detached house for sale
"Mill Mount House, Mill Mount, York, YO24",Added on 26/04/2021,"Exceptional apartment in a landmark building, offering space in abundance.",01904 200057,"£750,000","Savills, York",3 bedroom penthouse for sale
"Budleigh House, East Ferry Road, Susworth, Scunthorpe, DN17 3AS",Added on 11/03/2021,Freehold. Beautiful guest house and wedding venue. Over 2 acre plot with paddock and woodland. Outstanding development opportunity. Superb wedding location. Perfect for lodges and or glamping,0113 451 0449,"£750,000","Christie & Co, Leeds",Detached house for sale
"Orville Gardens, Leeds",Added on 14/05/2021,"A RARE AND EXCITING OPPORTUNITY TO PURCHASE A SUBSTANTIAL SYMPATHETICALLY EXTENDED, FIVE BEDROOMED, SUPERBLY PRESENTED DETACHED FAMILY HOME. SITUATED IN THIS HIGHLY CONVENIENT LOCATION, JUST A FEW MINUTES WALK TO THE EXTENSIVE AMENITIES IN HEADINGLEY AND WITH EXCELLENT ACCESS INTO LEEDS CITY CE...",0113 451 3145,"£750,000","Castlehill, Headingley",5 bedroom detached house for sale
"Plot 4,  Littlemoor Farm Development, Winterburn Lane, Warley, Halifax",Added on 20/11/2020,Occupying a hilltop position within this simply stunning semi-rural location surrounded by open grazing land and enjoying panoramic views. This exclusive gated development of just five individual detached family homes offers a unique opportunity to purchasers allowing them to personalis...,01422 757046,"£750,000","Charnock Bates, Halifax",4 bedroom detached house for sale
"The Willows, 2 Lea Gardens, Leeds Road, Hipperholme, HX3 8NH",Added on 12/06/2019,"Lea Gardens is a select gated development of three new luxury family homes, located close to The Stray in Hipperholme, brought to market by successful niche developers Woodhead Developments. These highly desirable 5-6 bedroomed detached homes, built in local Yorkshire stone, offer a unique chance...",01422 757046,"£750,000","Charnock Bates, Halifax",5 bedroom detached house for sale
"Church Farm House, Hooton Pagnell, Doncaster, South Yorkshire, DN5",Added on 06/07/2020,"A charming substantial renovated and recently improved period farmhouse dating back, in part, to some 300 years and retaining a wealth of original character, occupying a delightful courtyard position in the centre of this popular conservation village.",01423 429100,"£750,000","Carter Jonas, Harrogate",5 bedroom detached house for sale
"Keepers Cottage, Notton, Wakefield",Reduced on 12/03/2021,"**KEEPERS COTTAGE** If privacy is what you are looking for, it is guaranteed at this fantastic stone-built home, on the outskirts of Wakefield in the quaint village of Notton. This picture-perfect cottage is deceivingly spacious while offering oodles of cosy, country charm. There is also plenty ...",01977 325011,"£750,000","Enfields Luxe, Pontefract",4 bedroom character property for sale
"Stubley Farm, Stubley Farm Road, Heckmondwike, WF16 9DD",Added on 10/12/2020,"A superb extended six bedroom semi detached residence in a fantastic location, sat in 2.5 acres being complimented by a manège ,4 stables and a hay barn. ""CHECK OUT THE DRONE VIDEO TOUR YOU WILL NOT BE DISSAPOINTED""",0113 451 3273,"£750,000","Shaun Mellor Property, Morley",6 bedroom semi-detached house for sale
"Commercial Street, Norton, Malton, YO17",Reduced on 05/03/2021,"Norton Manor is a GII listed manor house of considerable character which offers a range or versatile reception rooms, 5 bedrooms and a pretty walled garden.",01904 200062,"£750,000","Carter Jonas, York",5 bedroom detached house for sale
"Bumblebee Cottage, Bolton Percy, York, YO23",Added on 28/04/2021,"A delightful period property of character and charm, offering well presented family accommodation together with generous mature gardens in a private position within this much sought after and convenient village between York and Leeds. Entrance vestibule and hall, sitting room, snug, di...",01625 909043,"£750,000","Jackson-Stops, Alderley Edge",3 bedroom detached house for sale
"Main Street, Sicklinghall, Wetherby, LS22",Added on 13/08/2020,"A most charming and deceptively spacious four bedroom detached stone cottage with delightful south facing private garden to rear, situated in the highly sought after village of Sicklinghall. ",01937 358003,"£750,000","Renton & Parr, Wetherby",4 bedroom detached house for sale
"Grimston Park, Grimston, Tadcaster, LS24",Added on 26/04/2021,A very rare opportunity to own this impressive four bedroom family home (over 4000 sqft) forming part of the Grade II listed Grimston Park country mansion in a stunning parkland setting. ,01904 200062,"£750,000","Carter Jonas, York",4 bedroom house for sale
"Lightridge Close, Huddersfield",Added on 19/04/2021,"A unique opportunity to purchase this detached residence situated within the highly sought-after location of Fixby. Set within generous mature landscaped gardens, this four bedroomed property offers the prospective purchasers the opportunity to create a one off family home. The property has previ...",01422 757046,"£750,000","Charnock Bates, Halifax",4 bedroom detached bungalow for sale
"Grove Road, Harrogate, HG1 5EW",Added on 16/10/2020,INVESTMENT - Victorian mid terrace containing three 2 bed apartments and a further three bedroom apartment.,01423 429011,"£750,000","FSS, Harrogate",9 bedroom semi-detached house for sale
"Station Road, Scalby, Scarborough",Reduced on 03/04/2021,"+++Built in 1952 this SUBSTANTIAL, FOUR BEDROOM DETACHED FAMILY HOME IS WELL LOCATED WITHIN THE POPULAR SCALBY VILLAGE and benefits from a SUBSTANTIAL South facing LAWNED REAR GARDEN leading down to Scalby beck with WOODLAND AREA ideal for those with children plus paved patio/seating areas and OU...",01723 315026,"£750,000","CPH Property Services, Scarborough",4 bedroom detached house for sale
"Eastgate, Rudston, East Yorkshire, YO25 ",Added on 11/02/2021,"SUBSTANTIAL DETACHED RESIDENCE IN VILLAGE LOCATION
WITH SEPARATE LIVING ACCOMMODATION
SET IN AROUND 1 ACRE OF LAND OFFERED WITH NO CHAIN MUST BE VIEWED!",01262 365004,"£750,000","D. Dunk Lewis & Graves, Bridlington",4 bedroom detached house for sale
"Bartle Way, Gleadless, Sheffield, S12 2QS",Added on 25/05/2021,"A rare opportunity has arisen to purchase this spacious three bedroom detached property. Located in this popular residential area, the property is well placed for easy access to excellent local amenities including shops, schools and the Super tram link. Ideal for the first time buyer or ...",0114 467 1690,"£225,000","Staves Estate Agents, Sheffield",3 bedroom detached house for sale
"Carleton Road, Pontefract",Added on 29/10/2020,**OPEN HOUSE SATURDAY 22nd MAY 2021 2PM - 4PM **Carleton Gardens is a small exclusive development of high quality and spacious family homes located in one of the most sought after residential areas of Pontefract. These homes will offer modern family living within a gated community and offer disce...,01977 325039,"£750,000","Crown Estate Agents, Pontefract",5 bedroom detached house for sale
"East Mount Road, York, YO24",Added on 27/05/2021,"An impressive Victorian townhouse which retains many of its original Victorian features with a pretty courtyard garden to the rear, in a well regarded street close to the railway station and city centre.",01904 200062,"£750,000","Carter Jonas, York",4 bedroom end of terrace house for sale
"Hallam Towers, Ranmoor, S10",Added on 05/04/2021,"Positioned on the top floor of Sheffield's most iconic new development, the Penthouses at Hallam Towers bring 'next generation' high-end living to the city. These breathtaking, once in a lifetime, three-bedroom apartments offer commanding space, whilst the wrap-around roof terraces present panora...",0114 467 0304,"£750,000","Redbrik, Sheffield New Homes",3 bedroom apartment for sale
"Carlisle Terrace, Bradford",Added on 01/10/2020,"Investment Commercial Property Well established retail store for sale. Currently generating £65,000 p/a rental income. More details to follow...",03301 332472,"£750,000","Fleming & Co (Estates) Ltd, Huddersfield",Property for sale
"Magnolia House, Main Street, Huby, York",Added on 23/05/2021,"Detached village house with annexe, studio/outbuildings and large garden, in a desirable location close to Easingwold and highly convenient for York.",01904 200049,"£750,000","Blenkin & Co, York",6 bedroom house for sale
"Bawtry Road, Blyth, Worksop",,"Land for sale; A stunning opportunity for a landscaped garden plot which benefit of planning permission being granted for 4 bungalows, comprising one - 3 bedroom bungalow (110m squared), three - 2 bedroom bungalows (60 - 65m squared) and 1 3 bedroom existing bungalow. Measuring approximately 0.4...",01909 292019,"£750,000","Burrell's Estate Agency, Worksop",Plot for sale
"Scalby Road, Scarborough, YO13 0NW  ",Added on 31/07/2020,"+++Ivy Bank is an imposing stone built, character property, located close to the centre of Scalby; one of Scarborough's premier residential areas. Ivy Bank has been renovated to a high standard by the current vendors to combine the traditional with the best of the new and provides stylish yet...",01723 315026,"£750,000","CPH Property Services, Scarborough",5 bedroom character property for sale
"Main Street, Helperby",Added on 17/05/2021,STYLE ? Stunning Converted Church HIGHLIGHTS ? 19th Century Converted Church Providing Spacious and Versatile LivingTHREE WORDS ? Charming Character Church! ,01347 973012,"£750,000","Emsley Mavor, Easingwold",5 bedroom character property for sale
"Tower View, Anlaby, Hull",Added on 14/05/2021,"Beautifully Presented Throughout with - Reception Hall, Family Day Room, Modern Open Plan Living/Dining/Kitchen, Sitting Room, Utility Room, 5 Bedrooms (Master With En Suite), Playroom, Family Bathroom & Cloakroom, Stunning Gardens, Double Garage & Off Street Parking - Must be viewed! Book Now!",01482 750065,"£750,000","William H. Brown, Willerby",5 bedroom detached house for sale
"South Avenue, Scalby, Scarborough",Reduced on 28/10/2020,"Built in 1938, this SUBSTANTIAL, CHARACTERFUL, FOUR BEDROOM RESIDENCE, occupies a highly desirable position, within the ever popular village of SCALBY. The property is set on a SUBSTANTIAL PLOT with PRIVATE GROUNDS and provides DECEPTIVELY SPACIOUS well appointed living throughout and externally...",01723 315026,"£750,000","CPH Property Services, Scarborough",4 bedroom detached house for sale
"Apartment 3, 9 St. Leonards Place, York, YO1",Added on 29/05/2020,First floor apartment in one of York’s best addresses,01904 200057,"£750,000","Savills, York",2 bedroom apartment for sale
"Plot 4, Chamomile Cottage, Hollins Grove Barns, Easingwold",Added on 12/04/2021,"**5 PLOTS RESERVED, ONLY 1 PLOTS REMAINING** A stunning new development of 6 contemporary barn conversions discretely positioned opposite an 18 hole golf course less than a mile outside the market town of Easingwold and only 11 miles north of the historic city of York making Hollins Grove Barns p...",01347 973003,"£750,000","Stephensons, Easingwold",3 bedroom barn conversion for sale
"Folkton, Scarborough",Added on 13/07/2019,"+++This IMPOSING, FOUR BEDROOM DETACHED COUNTRY HOUSE is set on a SUBSTANTIAL PLOT of APPROXIMATELY 2 ACRES with a sweeping circular driveway and DETACHED DOUBLE GARAGE. Internally the property has been extended and presented to a high standard by the current vendors with modern breakfast kitche...",01723 315026,"£750,000","CPH Property Services, Scarborough",4 bedroom country house for sale
"Upper Bank End Road, Holmfirth",Added on 25/11/2020,This substantial modern detached house enjoys outstanding views from its elevated position and sits within easy reach of the centre of Holmfirth and its many amenities. The property offers spacious open plan living downstairs opening onto the large decked seating area and flexible 4 / 5 bedroom ...,01484 977039,"£750,000","WM. Sykes & Son, Holmfirth",4 bedroom detached house for sale
"Westfield Lane, South Milford, Leeds, LS25 5AW",Reduced today,Set in the heart of South Milford is this beautifully presented four bedroom family home,01937 358010,"£750,000","Hunters, Wetherby",4 bedroom detached house for sale
"Southfield, Hessle",Reduced on 29/04/2021,"The Coach House is a fabulous individual residence standing in the beautiful conservation area of Southfield. Meticulously planned with large rooms, great attention to detail and a superlative specification. The generous plot has a gated entrance and provides multiple parking facilities. A truly ...",01482 750079,"£750,000","Matthew Limb Estate Agents Ltd, Brough",5 bedroom detached house for sale
"1 Castle Howard Drive, Malton, YO17 7BA",Reduced on 22/03/2021,"1 Castle Howard Drive is an individual four bedroom home located in one of Malton's most sought after locations. Renovated and extended throughout to an extremely high standard in recent years by the current owners to create a contemporary, flexible family home. In brief this beautifull...",01653 511003,"£750,000","Willowgreen Estate Agents, Malton",4 bedroom detached house for sale
"1 Clifton Dale, Clifton Green, York",Added on 17/05/2021,A superbly located York city townhouse overlooking a leafy village green.,01904 200049,"£750,000","Blenkin & Co, York",4 bedroom house for sale
"Springfield Farm, Birkenshaw, Bradford, BD11 2DA",Added on 26/09/2017,"An interesting and extremely versatile small holding comprising an extended farmhouse, a substantial adjoining barn and a range of more modern farm buildings of varying condition, together with about 6 acres. Delightful semi rural setting with an open outlook.",01756 535008,"£750,000","David Hill, Skipton",3 bedroom farm house for sale
"Genn Lane, Barnsley",Added on 21/05/2021,"A unique opportunity to purchase a substantial detached bungalow standing in approximately 8 acres of former landscaped grounds incorporating lawns, orchards and field/paddocks. The bungalow requires considerable upgrading and works to create a truly unique family home in an idyllic semi-rural se...",01226 977150,"£750,000","Merryweathers, Barnsley",3 bedroom detached bungalow for sale
"Bootham Crescent, York YO30 7AH",Added on 19/04/2021,An immaculately presented and very well regarded guesthouse in the heart of York City Centre. Brentwood Guest House is a superb example of a well-maintained and profitable business in the heart of York.,01904 200147,"£750,000","EweMove, York",10 bedroom terraced house for sale
"Warren Vale, Swinton, Mexborough, S64 8UY",Added on 26/08/2020,"Occupying this superb secluded semi-rural location, south-facing at the rear and standing within mature grounds approaching 1.5 acres, this significantly extended five bedroomed detached former estate cottage constructed in stone and over 3 floors, offers flexible living accommodation. Existing p...",01709 230065,"£750,000","Merryweathers, Mexborough",5 bedroom detached house for sale
"Front Street, York YO24 3BU",Added on 21/10/2020,"Every now and again something very special comes onto the property market and this stunning four bedroom grade ll listed building is no exception. Dating from the 17th century, this charming home is situated in the heart of Acomb. The house has been superbly updated and refurbished by the curren...",01904 200081,"£750,000","Bishops Personal Agents, York",4 bedroom detached house for sale
"Meadow Rise, Darlington",Added on 27/05/2021,"Individually built, situated within a sizable, private plot occupying the head of cul-de-sac, nestled away in the West End of Darlington. Meadow Rise is a most impressive, FOUR Double Bedroomed home. Offering generous accommodation having been well planned, designed and executed throughout, with...",01325 627330,"£750,000","Ann Cordey Estate Agents, Darlington",4 bedroom detached house for sale
"Hill View Court , Wilsic Lane, Tickhill, DN11 - Viewing Essential",Added on 29/04/2021,Five Unique Homes Created Within the Footprint of a Spectacular Traditional Barn. Available exclusively from MorfittSmith: Hill View Court. Get in touch with our new homes department for more info or to reserve your plot before they are all gone. ,0114 467 1716,"£380,000","MorfittSmith, Sheffield",4 bedroom terraced house for sale
"Castlegate, York YO1 9RP",Reduced on 13/01/2021,*** Viewing Recommended *** A PERIOD END TOWNHOUSE with the benefit of PARKING situated in the HEART OF YORK is this beautifully presented and newly refurbished house.,01904 200036,"£750,000","Hudson Moody, Micklegate",3 bedroom town house for sale
"Messingham, Scunthorpe",Added on 25/05/2021,"This truly BEAUTIFUL, secluded dream home occupies a SPACIOUS plot within approx. 2 acres with STUNNING views. An EXCEPTIONALLY OUTSTANDING & rare to the market property offering additional 19 ACRES (currently used as an airfield), CCTV, kennels, brick workshop, aircraft hangers & DOUBLE GARAGE.",01724 646112,"£750,000","William H. Brown, Scunthorpe",4 bedroom detached house for sale
"Main Street, Blacktoft, GOOLE",Reduced on 25/12/2019,"ATTENTION DEVELOPERS, POSSIBLE INVESTMENT OPPORTUNITIES TO DEVELOP THIS FORMER SCHOOL HOUSE. with stunning views from the balcony, on a summer's day you can sit and watch the ships sail on by With plenty of indoor space and great outdoor living space, the possibilities in this property are end...",01757 820000,"£750,000","William H. Brown, Selby",7 bedroom detached house for sale
"Station Lane, Burton Leonard, Harrogate, North Yorkshire, HG3",Added on 25/05/2021,"An exceptional detached property in the heart of Burton Leonard. Hilltop Farm is an impressive and immaculately presented detached family home occupying a desirable position in the premium, un-spoilt village of Burton Leonard. The well serviced village offers a superb lifestyle with an excelle...",01423 429050,"£750,000","Knight Frank, Harrogate",3 bedroom detached house for sale
"East Gate, Rudston, Driffield, YO25",Added on 10/02/2021,Superb extensive house with two additional ancillary cottages plus a paddock within the beautiful Yorkshire Wolds countryside.,01904 200057,"£750,000","Savills, York",4 bedroom detached house for sale
"Finkle Hill, Sherburn in Elmet",Reduced on 07/05/2021,ATTENTION INVESTORS**RETAIL UNIT (BUSINESS NOT AFFECTED) AND FOUR APARTMENTS**TWO NEW BUILD TOWN HOUSES*ALL OF THE PROPERTIES CURRENTLY RENTED**IDEALLY LOCATED IN THE CENTRE OF SHERBURN IN ELMET.,01977 325109,"£750,000","Park Row Properties, Sherburn",Property for sale
"Lee Lane, Catshaw, Twixt Holmfirth And Penistone",Added on 02/06/2020,A most remarkable period property tucked away in a highly private location is Myrefield Cottage which in total extends to 3372 square feet with grounds which extends to approx. half an acre. ** Viewings currently suspended **,01484 977006,"£750,000","Yorkshire's Finest, Huddersfield",4 bedroom detached house for sale
"Manor House, Darrington Road, East Hardwick, WF8 3DT",Added on 02/04/2021,SUBSTANTIAL BESPOKE DETACHED HOME - OVERLOOKING RURAL FARMLAND - EXTENSIVE LAYOUT - GORGEOUS VILLAGE SETTING - 3 RECEPTION ROOMS - ANNEX POTENTIAL - PRESTIGIOUS HOME ,01977 325106,"£750,000","Hunters, Castleford",4 bedroom detached house for sale
"Brigg Road, Hibaldstow, Brigg, Lincolnshire, DN20",Added on 23/10/2020,"This superb grade II listed Victorian residence sits in a plot of circa 1.5 acre and is steeped in local history situated in the popular village of Hibaldstow, originally the Vicarage serving St Hybald’s church,",01472 867880,"£750,000","Fine & Country, Grimsby",5 bedroom detached house for sale
"Sandmoor Gate, Sandmoor Avenue, Leeds, West Yorkshire",Reduced on 19/04/2021,Sandmoor Gate is an exclusive development of six luxury apartments located at the corner of Sandmoor Avenue and Harrogate Road within Leeds' premier residential address of Alwoodley. This top floor apartment offers three bedroom accommodation with exquisitely designed interiors and has been fitte...,0113 451 3240,"£750,000","Fine & Country Manning Stainton, Leeds",3 bedroom apartment for sale
"Holme Dene, Leeds Road, Halifax, HX3 8SD",Added on 21/04/2021,"Holme Dene is a substantial detached property which requires improvement and updating, boasting seven bedrooms and a wealth of period features such as deep skirting boards and architraves, decorative arch recesses, high ceilings and ornate cornice and coving. Situated in the highly regarded locat...",01422 757046,"£750,000","Charnock Bates, Halifax",7 bedroom detached house for sale
"1 Clifton Dale, Clifton Green, York. North Yorkshire. YO30 6LH",Reduced on 13/01/2021,"A NEWLY DEVELOPED, HIGH SPECIFICATION FOUR BEDROOM TOWNHOUSE IN THE POPULAR CLIFTON GREEN AREA OF YORK",01904 200080,"£750,000","Croft, York",4 bedroom town house for sale
"Heather Vale, Scarcroft, Leeds, West Yorkshire",Added on 03/09/2019,"***FOUR BEDROOM DETACHED HOME IN EXTREMELY DESIRABLE LOCATION AND OFFERED TO MARKET WITH NO ONWARD CHAIN*** An excellent opportunity for the discerning purchaser to acquire this attractive four bedroom detached property situated in this pleasant cul-de-sac just off the ""exclusive"" ...",0113 451 3238,"£750,000","Manning Stainton, Moortown",4 bedroom detached house for sale
"Mayfield Grove, Harrogate, HG1 5HD",Added on 16/10/2020,INVESTMENT - Victorian mid terrace containing 6 self-contained bedsits and 3 additional bedsits!,01423 429011,"£750,000","FSS, Harrogate",9 bedroom terraced house for sale
"Anchor House, 18 Staithe Street, Bubwith",Added on 01/05/2021,"An exceptional house on the banks of the river Derwent, with specialist flood defences.",01904 200049,"£750,000","Blenkin & Co, York",5 bedroom house for sale
"Elton, Stockton-On-Tees",Added on 18/09/2020,"** OFFERS ARE IVITED BETWEEN £700,000 - 725,000 ** A SUBSTANTIAL AND HIGHLY CHARACTERFUL SEVEN BEDROOM EDWARDIAN SEMI DETACHED FAMILY HOUSE, BOASTING APPROXIMATELY 6.5 ACRES OF LAND AND WOODLAND, LOCATED IN THE DESIRABLE VILLAGE LOCATION OF ELTON, WHICH WILL CERTAINLY APPEAL TO DISCERNING B...",01642 268166,"£750,000","Eazymove Estate Agents, Middlesbrough",7 bedroom semi-detached house for sale
"Neasham Road, Darlington",Reduced on 16/03/2021,"** SOUTH FACING GARDEN ** COUNTRYSIDE VIEWS ** CINEMA ROOM ** HIGH QUALITY FIXTURES & FITTINGS ** Hilton House Farm is a unique property set within open countryside with commanding views, having south facing garden and extensive parking with garage. The flexible living accommodation has been car...",01325 627350,"£750,000","Carver Residential, Darlington",5 bedroom detached house for sale
"Ormesby Bank, Ormesby",,A prime building opportunity in a popular residential location. Circa 1 acre plot with full planning permission for three detached dwellings with integral garages and one detached dwelling with two detached single garages to the side. A double fronted four bedroom detached house also to be included.,01642 268116,POA,"Harvey Brooks Properties Ltd, Marton",Land for sale
"Beech House Road, Hemingfield, Barnsley, S73 0PF",Added on 09/02/2021,"Hunters are exceptionally excited to present to the market this fully alarmed four bedroom stone built link-detached property located in Hemingfield, Barnsley. Briefly accommodating a lounge, kitchen, dining room, four bedrooms and a house bathroom.",01226 977176,"£750,000","Hunters, Barnsley",4 bedroom house for sale
"Rawcliffe Lane, York, YO30",Reduced on 09/03/2021,"A characterful house built by the Joseph Rowntree Trust, with attractive gardens, a double garage and driveway, situated in the desirable area of Clifton. ",01904 200062,"£750,000","Carter Jonas, York",4 bedroom detached house for sale
"Menston,
LS29",Added on 27/05/2021,"**COMING SOON** Beautifully constructed to a high specification and stylishly designed, the generously sized, 5-bedroom Aston is a superb property offering a host of exceptional features with gardens on three sides and generous accommodation throughout.",0113 451 0071,Coming Soon,Stonebridge Homes,5 bedroom detached house for sale
"Boat Garth, Maunby, Thirsk",Added on 03/11/2020,"This is a fabulous house, with its oak beams and a large, modern kitchen/living room. The garden leads down to the River Swale, where there is a raised terrace taking in the wonderful view.",01347 973018,"£750,000","Hewetson & Johnson, York",4 bedroom house for sale
"3 Grimston Park, Tadcaster, North Yorkshire, LS24",Added on 24/12/2020,This impressive four bedroom family home (over 4000 sqft) features elegant accomodation along with manicured grounds forming part of the Grade II listed Grimston Park country mansion in a stunning parkland setting ; a sanctuary for the busy commuter.,01937 358009,"£750,000","Dacre Son & Hartley, Wetherby",4 bedroom house for sale
"Black Bank, Susworth, Scunthorpe, Lincolnshire",Added on 03/07/2019,Delightful equestrian holding - Attractive 19th century 4 bedroom farmhouse - Paddocks of around 6.9 acres (sts) with floodlit menage and stables - Stunning courtyard gardens with outbuildings - Rural location with open field views,03339 873645,"£750,000","JHWalter, Lincoln",4 bedroom equestrian facility for sale
"Free School Lane, Halifax",Added on 29/09/2020,"A simply unmissable opportunity to acquire a tenanted, two bed apartment with no upward chain. This modern, spacious property makes an attractive ready made investment, with a gross yield return of 7%. Benefits include two double bedrooms, allocated parking, integrated appliances and ti...",0113 451 3065,"£99,000","Ascend, Leeds",2 bedroom apartment for sale
"Avenue Lawns, Alwoodley, Leeds",Reduced on 28/05/2021,"Offered with NO CHAIN, this four bedroom detached home in a private estate setting just off of The Avenue in Alwoodley is an ideal family residence. This property includes a double garage, private rear garden and a highly sought after location. ",0113 451 3118,"£750,000","Monroe Estate Agents, Leeds",4 bedroom detached house for sale
Ash Grove. Dacre,Added on 01/04/2021,"* 360 3D Virtual Walk-Through Tour * A fantastic opportunity to purchase this individual property comprising an attractive five-bedroomed village house, together with a self-contained one-bedroom detached cottage, garage, garden and ample off-road parking.",01423 429051,"£750,000","Verity Frearson, Harrogate",6 bedroom detached house for sale
"Farndale, Sitwell Grove, Rotherham",Added on 26/06/2020,"A superb four bedroomed detached family home, offering generously proportioned accommodation with a spacious lounge/dining room, sun lounge, three double bedrooms and a fabulous south facing landscaped garden. The property also has excellent access to the Rotherham Hospital and M1/M18 motorways.",0114 467 1685,"£749,995","Blenheim Park Estates, Sheffield",4 bedroom detached house for sale
"The Terrace, Boston Spa, Wetherby",Added on 27/04/2021,"A rarely available and extremely sought after Grade II Listed, double fronted, stone built four bedroom, two bathroom family home originally forming part of a Georgian Hotel with double garage, pretty walled garden and in a great location being just off the high street in the very heart of Boston...",01937 358002,"£749,950","Beadnall & Copley, Wetherby",4 bedroom terraced house for sale
"Back Lane, Drighlington, Bradford, West Yorkshire",Added on 20/04/2021,PHASE 1 COMING SOON! Don’t miss out on an exclusive opportunity to own one of only two new build luxury detached family homes. Currently under construction by local developer Stone developments who pride themselves in providing a blend of luxury fixtures and fittings with attention to detai...,0113 451 3240,"£749,950","Fine & Country Manning Stainton, Leeds",Detached house for sale
"Hill Top Road, Newmillerdam",Reduced on 21/05/2021,"Holroyd Miller have pleasure in offering for sale ""Watersedge"" a stunning stone built detached cottage standing on a large plot situated in this ever popular and sought after village of Newmillerdam, having beamed ceiling, exposed brick work and luxury fixtures and fittings. Viewing Ess...",01924 767176,"£749,950","Holroyd Miller, Wakefield",4 bedroom cottage for sale
